State,Population,County
Illinois,33391,Bureau
Illinois,4866,Calhoun
Illinois,14593,Carroll
Illinois,12667,Cass
Illinois,209961,Champaign
Illinois,33214,Christian
Illinois,15860,Clark
Illinois,13315,Clay
Illinois,37592,Clinton
Illinois,51767,Coles
Illinois,5228455,Cook
Illinois,19136,Crawford
Illinois,10868,Cumberland
Illinois,103984,DeKalb
Illinois,16133,De Witt
Illinois,19720,Douglas
Illinois,931680,DuPage
Illinois,17518,Edgar
Illinois,6535,Edwards
Illinois,34186,Effingham
Illinois,21566,Fayette
Illinois,13346,Ford
Illinois,39093,Franklin
Illinois,35455,Fulton
Illinois,5157,Gallatin
Illinois,13119,Greene
Illinois,50306,Grundy
Illinois,8186,Hamilton
Illinois,18203,Hancock
Illinois,3988,Hardin
Illinois,6886,Henderson
Illinois,49511,Henry
Illinois,28168,Iroquois
Illinois,58776,Jackson
Illinois,9576,Jasper
Illinois,38247,Jefferson
Illinois,21906,Jersey
Illinois,21842,Jo Daviess
Illinois,12457,Johnson
Illinois,531463,Kane
Illinois,111074,Kankakee
Illinois,124592,Kendall
Illinois,50938,Knox
Illinois,704644,Lake
Illinois,110203,LaSalle
Illinois,16167,Lawrence
Illinois,34482,Lee
Illinois,36100,Livingston
Illinois,29153,Logan
Illinois,30875,McDonough
Illinois,307296,McHenry
Illinois,173140,McLean
Illinois,106430,Macon
Illinois,45689,Macoupin
Illinois,265733,Madison
Illinois,38055,Marion
Illinois,11875,Marshall
Illinois,13673,Mason
Illinois,14439,Massac
Illinois,12399,Menard
Illinois,15599,Mercer
Illinois,33908,Monroe
Illinois,29056,Montgomery
Illinois,34616,Morgan
Illinois,14603,Moultrie
Illinois,51162,Ogle
Illinois,185073,Peoria
Illinois,21391,Perry
Illinois,16526,Piatt
Illinois,15738,Pike
Illinois,4179,Pope
Illinois,5602,Pulaski
Illinois,5714,Putnam
Illinois,32416,Randolph
Illinois,15822,Richland
Illinois,145230,Rock Island
Illinois,263102,St. Clair
Illinois,24230,Saline
Illinois,198004,Sangamon
Illinois,7029,Schuyler
Illinois,5048,Scott
Illinois,21738,Shelby
Illinois,5509,Stark
Illinois,45497,Stephenson
Illinois,133887,Tazewell
Illinois,17112,Union
Illinois,78494,Vermilion
Illinois,11542,Wabash
Illinois,17303,Warren
Illinois,14178,Washington
Illinois,16549,Wayne
Illinois,14070,White
Illinois,56472,Whiteside
Illinois,688648,Will
Illinois,67480,Williamson
Illinois,286054,Winnebago
Illinois,38925,Woodford
Indiana,35192,Adams
Indiana,369778,Allen
Indiana,82313,Bartholomew
Indiana,8656,Benton
Indiana,12105,Blackford
Indiana,64168,Boone
Indiana,15000,Brown
Indiana,19960,Carroll
Indiana,37953,Cass
Indiana,115598,Clark
Indiana,26200,Clay
Indiana,32198,Clinton
Indiana,10582,Crawford
Indiana,32972,Daviess
Indiana,49434,Dearborn
Indiana,26562,Decatur
Indiana,42612,DeKalb
Indiana,115676,Delaware
Indiana,42421,Dubois
Indiana,203652,Elkhart
Indiana,23257,Fayette
Indiana,76697,Floyd
Indiana,16449,Fountain
Indiana,22804,Franklin
Indiana,20110,Fulton
Indiana,33562,Gibson
Indiana,66680,Grant
Indiana,32229,Greene
Indiana,315990,Hamilton
Indiana,73728,Hancock
Indiana,39666,Harrison
Indiana,160369,Hendricks
Indiana,48348,Henry
Indiana,82317,Howard
Indiana,36288,Huntington
Indiana,44004,Jackson
Indiana,33416,Jasper
Indiana,21023,Jay
Indiana,32230,Jefferson
Indiana,27642,Jennings
Indiana,151575,Johnson
Indiana,37331,Knox
Indiana,78742,Kosciusko
Indiana,39109,LaGrange
Indiana,486199,Lake
Indiana,110254,LaPorte
Indiana,45588,Lawrence
Indiana,129297,Madison
Indiana,944139,Marion
Indiana,46600,Marshall
Indiana,10191,Martin
Indiana,36041,Miami
Indiana,145748,Monroe
Indiana,38249,Montgomery
Indiana,69628,Morgan
Indiana,13985,Newton
Indiana,47426,Noble
Indiana,5892,Ohio
Indiana,19460,Orange
Indiana,20901,Owen
Indiana,16939,Parke
Indiana,18977,Perry
Indiana,12398,Pike
Indiana,167522,Porter
Indiana,25634,Posey
Indiana,12598,Pulaski
Indiana,37251,Putnam
Indiana,25110,Randolph
Indiana,28398,Ripley
Indiana,16642,Rush
Indiana,269484,St. Joseph
Indiana,23699,Scott
Indiana,44259,Shelby
Indiana,20491,Spencer
Indiana,23015,Starke
Indiana,34354,Steuben
Indiana,20709,Sullivan
Indiana,10615,Switzerland
Indiana,190504,Tippecanoe
Indiana,15167,Tipton
Indiana,7140,Union
Indiana,181306,Vanderburgh
Indiana,15586,Vermillion
Indiana,107851,Vigo
Indiana,31504,Wabash
Indiana,8164,Warren
Indiana,62066,Warrick
Indiana,27734,Washington
Indiana,66609,Wayne
Indiana,27854,Wells
Indiana,24075,White
Indiana,33493,Whitley
Iowa,6998,Adair
Iowa,3692,Adams
Iowa,13850,Allamakee
Iowa,12505,Appanoose
Iowa,5629,Audubon
Iowa,25633,Benton
Iowa,133116,Black Hawk
Iowa,26426,Boone
Iowa,24737,Bremer
Iowa,21018,Buchanan
Iowa,20322,Buena Vista
Iowa,14705,Butler
Iowa,9808,Calhoun
Iowa,20377,Carroll
Iowa,13161,Cass
Iowa,18410,Cedar
Iowa,43088,Cerro Gordo
Iowa,11402,Cherokee
Iowa,12096,Chickasaw
Iowa,9250,Clarke
Iowa,16296,Clay
Iowa,17657,Clayton
Iowa,47228,Clinton
Iowa,17118,Crawford
Iowa,84257,Dallas
Iowa,8884,Davis
Iowa,8045,Decatur
Iowa,17280,Delaware
Iowa,39588,Des Moines
Iowa,17110,Dickinson
Iowa,96782,Dubuque
Iowa,9572,Emmet
Iowa,19851,Fayette
Iowa,15857,Floyd
Iowa,10183,Franklin
Iowa,6951,Fremont
Iowa,9000,Greene
Iowa,12286,Grundy
Iowa,10646,Guthrie
Iowa,15093,Hamilton
Iowa,10887,Hancock
Iowa,17173,Hardin
Iowa,14048,Harrison
Iowa,19829,Henry
Iowa,9253,Howard
Iowa,9519,Humboldt
Iowa,6954,Ida
Iowa,16185,Iowa
Iowa,19387,Jackson
Iowa,36703,Jasper
Iowa,18064,Jefferson
Iowa,146858,Johnson
Iowa,20424,Jones
Iowa,10168,Keokuk
Iowa,15110,Kossuth
Iowa,34459,Lee
Iowa,222081,Linn
Iowa,11212,Louisa
Iowa,8552,Lucas
Iowa,11781,Lyon
Iowa,15824,Madison
Iowa,22172,Mahaska
Iowa,33143,Marion
Iowa,40129,Marshall
Iowa,15035,Mills
Iowa,10642,Mitchell
Iowa,8790,Monona
Iowa,7831,Monroe
Iowa,10128,Montgomery
Iowa,42925,Muscatine
Iowa,13933,O'Brien
Iowa,6100,Osceola
Iowa,15349,Page
Iowa,9028,Palo Alto
Iowa,25192,Plymouth
Iowa,6849,Pocahontas
Iowa,474579,Polk
Iowa,93592,Pottawattamie
Iowa,18543,Poweshiek
Iowa,4985,Ringgold
Iowa,9812,Sac
Iowa,172223,Scott
Iowa,11653,Shelby
Iowa,34965,Sioux
Iowa,96845,Story
Iowa,17191,Tama
Iowa,6239,Taylor
Iowa,12368,Union
Iowa,7241,Van Buren
Iowa,35330,Wapello
Iowa,49353,Warren
Iowa,22137,Washington
Iowa,6444,Wayne
Iowa,36746,Webster
Iowa,10597,Winnebago
Iowa,20413,Winneshiek
Iowa,102600,Woodbury
Iowa,7470,Worth
Iowa,12835,Wright
Kansas,12634,Allen
Kansas,7815,Anderson
Kansas,16376,Atchison
Kansas,4673,Barber
Kansas,26896,Barton
Kansas,14642,Bourbon
Kansas,9633,Brown
Kansas,66628,Butler
Kansas,2631,Chase
Kansas,3359,Chautauqua
Kansas,20232,Cherokee
Kansas,2674,Cheyenne
Kansas,2064,Clark
Kansas,8101,Clay
Kansas,9095,Cloud
Kansas,8333,Coffey
Kansas,1840,Comanche
Kansas,35717,Cowley
Kansas,39078,Crawford
Kansas,2832,Decatur
Kansas,18955,Dickinson
Kansas,7712,Doniphan
Kansas,119858,Douglas
Kansas,2901,Edwards
Kansas,2510,Elk
Kansas,28948,Ellis
Kansas,6304,Ellsworth
Kansas,36963,Finney
Kansas,34594,Ford
Kansas,25530,Franklin
Kansas,35136,Geary
Kansas,2623,Gove
Kansas,2573,Graham
Kansas,7689,Grant
Kansas,6020,Gray
Kansas,1277,Greeley
Kansas,6109,Greenwood
Kansas,2629,Hamilton
Kansas,5669,Harper
Kansas,34736,Harvey
Kansas,4022,Haskell
Kansas,1834,Hodgeman
Kansas,13269,Jackson
